puuid,leaguePoints,tier
lSFkOx9rFTwwzGd6A6j4eXuHLjgY_eDBYonX0Te-tPAXbmeeJVkcbtcI6RZZgYZGSrnSQ_-zfKhazQ,1223,Challenger
zRb09LLDIlALgmrO7AI2V52lCNLf0K15YhEKhb951dx4DgqgPrXZqHF9PxBw0JzOcVS3og8iTy6pbw,1221,Challenger
psjxh_Sazi5gVmaCTJ1wBDjny3K6kKR7uqkVTYmE2dVhv65riHMR7R6-WSIJyEeRCekVjiWkwEDyoQ,1221,Challenger
WDGAMdvD_O3fHFVYtEvGwzmgynGexVZkLoK4o1BxHuMFz416r6OplZB6iBARuCsWhRtmsLNNdK28fw,1220,Challenger
PpGHszGC9n8WLMht8kkflECfCVb4pmLW9GsIZEvYF86iDtAIwBxE83jxDq7x9W7APdL6EI7Str3UDg,1219,Challenger
0B5zqpQbGM7T2uNFYwoltZBvxW4gBK8cUMMKD_y3ayGDT-RYAmsPQknljbCTLzXl2uzBY0P2lr_Cmw,1219,Challenger
EHCM7Y7ZaC2d3QZDZMd01lfxC6DVtjflOtzp0jeZphUD28WD_n6T9vU17YxG25LL3TW8QSRSScJO5w,1218,Challenger
FX-e1ugFgBi2uXiX0GBMwR1CRRVRfTDZRb9ad3EIpeRbqrpy9YlWHvOcngY0ssb8ghUVrVxz4baLMg,1218,Challenger
bUlGVH1NPiRCgqnQXjvPmTXdshCLONPvZSJ_WPAp4HG_7HpII1Qu0ah0wCBZSrMeyLfXxYuDES1OPg,1216,Challenger
ozWmYj34LwFyXrJj4gVAFSlD6IjeUubZjJ8jXENtae69oC51TNVOatlICL266gqkLLndy0MOUfGD5w,1215,Challenger
2ZCQ8qfKSAtHWER5fRzRWpQHBg9IWiDXHhvXmWDZj4BgGEXs5peNX1J6Scv3JreP2nNUIzuO7KRVTQ,1214,Challenger
uO3mdIG1O5AodZw0tXjjydG4gafN64daEgH56LSON9hfyAzn5p36MrffpAmIkTknbEBB_LlNgPLZng,1214,Challenger
4Km6r8FoDz0lpc4YOX0D1MBSraxO6Tw5a2xcmvL4HCWIgPca60PR_Pc1VB3haU3UcaS5GqRA1jrwFg,1213,Challenger
q8ZYwEZUEPVs0Zr9gVA9Ry2QAgWM-xa1bbqfkxJw1NuRhiU5pMCOK6ITR8HVl6FZaqrnpLdKZ8ukLQ,1213,Challenger
Dr1SAP-jyhjahw357ZsDbFZi94DtAVF07CHhZlrS4sNZQLIMX5ThkQghY4Po3pTgZd6VCUviVoZ4IA,1212,Challenger
FaViTXzOdZM7UN6umMrxi3XmtjX4IxN6yYQxWqX9x-5wEwBIPjbb5Oe-zfv3Vnw9_PTb7HlEidhk-A,1212,Challenger
uyhZexa2rq5gbRteh0BZQm7kZ_LuhgXaS-4p039C-T-E7RQHkKQHcUwZQpDRWT4sPi7UWdad1Ocwyw,1209,Challenger
G8g6s-gr9TVjDoy8YM9PRVWetbEFNIwFED3npweNvgxfPrhIP_bZavdnEFPU3C7LfnIhqw5WDfI9_Q,1209,Challenger
UGBcsmoKcdxOlhS9uQW5QC7P5N8PSFP4vHvjkYl94xopZG6YeM_91KTfvILza5Z95bKr-JeEp4E9NQ,1209,Challenger
O_GXJOPFpy0ICR0pVMCdxhpMniY41hEn5q_c1fr247Gc6Uhn6_CG_HAiSxwKYHCsFHdV652JO6pMjw,1208,Challenger
Wk_KdvQFgY4DGkzjb3puVFDZsNktiW3arWfZz1ugGsYhWxS33Yigh16_cyQcF0talJn0GFrpcTGXqw,1207,Challenger
f9H_CjTiAT0xrvUnx2Tph2tduY4TByJiWeDaoQXz2PKbYFCfilXjXBVo1VjmrJRpcbnkMocV3_P_fg,1207,Challenger
FtkcVx5ydl8xlJa5Tl1zZKup1nTazQWwGiNufITCEqT07ET3P9GuxSxROyDe-dde4Hy9PSxak5keqw,1207,Challenger
zu5Y0THZCIOQ0Nx3gwCwIZoyEKbkhmkIl0ThidVrt6vvhggaxGzPmzvJlWncF1hkWv87uwKx-iAYyQ,1207,Challenger
1fBoCZ42ij7Ab_0JnemI_imIlG2gwFGWnoFW9p1vud9q2XJUqxNe3wOLOOyVMafgja8GTiE2UT3ZfA,1206,Challenger
